
Company Name,Address,City,State,Zip,Phone,Email,Website,Description,Representatives,Date Contacted,Contact Method
West Park Kamm's Neighborhood Development,,,,,,,,"AboutWest Park Kamm’s Neighborhood Development is the nonprofit, community development corporation serving the west side of Cleveland’s West Park Neighborhood.",,,
WrightPath Solutions,,,,,,,,"AboutFull-service strategic communications, political consulting, marketing and advocacy.",,,
Work in Progress Consulting,,,,,,,,"AboutA people-centered operations, strategy, and capacity building consulting firm. We specialize in Human Resources, Finance, Strategy, Hiring & Recruitment, and small business and nonprofit operations support. We offer both executive and board coaching services.",,,
WovenSmart LLC,,,,,,,,"AboutAt WovenSmart, we empower individuals and organizations to unlock their creative intelligence, align purpose with impact, and rise beyond the ordinary. Through a unique fusion of mindful practices, experiential learning, and strategic brand development, we create transformative spaces where personal growth meets professional clarity.At WovenSmart, we believe that creativity can be a turning point in someone’s life. That’s why giving back is woven into the heart of everything we do. The Crea",,,
"Wedding in a Box, LLC",,,,,,,,"AboutWedding in a Box is not your typical wedding. We are non-denominational officiants and micro-wedding planners that focused delivering a beautiful and unique wedding experience to all of our happy couples. Whether you’re planning a wedding, vow renewal, or last-minute ceremony we can help make the day a special occasion with one of our wedding packages tailored for 2-25 people. We understand how confusing and stressful planning any important event can be and are excited to help you and your ",,,
Westfield,,,,,,DiversityEquityandInclusion@westfieldgrp.com; DiversityEquityandInclusion@westfieldgrp.com; DiversityEquityandInclusion@westfieldgrp.com; DiversityEquityandInclusion@westfieldgrp.com; DiversityEquityandInclusion@westfieldgrp.com,,"AboutWestfield will be admired as a leading personal and commercial lines property-casualty insurance company enabled by an exceptional team known for expertise and caring.  We will be distinguished by excellence in commercial insurance, and customers will choose us for our insight about risk and the value we deliver",,,
Western Reserve Consulting,,,,,,,,AboutFractional CFO & Bookkeeping services for small to medium sized businesses,,,
Western Reserve Distillers,,,,,,,,"AboutWestern Reserve Distillers is a family owned Organic Craft Distillery producing award winning world class spirits in Lakewood, Ohio, which is just a few miles from downtown Cleveland. All of our products are handcrafted in small batches with grains from Ohio farms within 150 miles of our distillery.Our mission at Western Reserve Distillers is to be known as the nations premiere organic craft distillery where we believe taste makes the difference.The Distillery at Western Reserve Distillers ",,,
Western Reserve Consulting,,,,,,,,AboutFractional CFO & Bookkeeping services for small to medium sized businesses,,,
WTWH Media LLC,,,,,,,,"AboutAn integrated B2B media company serving the design engineering, electronics, hospitality, life sciences, renewable energy, research, retail and robotics markets.",,,
West Bay Construction,,,,,,,,"AboutAt West Bay Construction, we are dedicated to enhancing the beauty and functionality of your home.",,,
"Wedding in a Box, LLC",,,,,,,,"AboutWedding in a Box is not your typical wedding. We are non-denominational officiants and micro-wedding planners that focused delivering a beautiful and unique wedding experience to all of our happy couples. Whether you’re planning a wedding, vow renewal, or last-minute ceremony we can help make the day a special occasion with one of our wedding packages tailored for 2-25 people. We understand how confusing and stressful planning any important event can be and are excited to help you and your ",,,
Wendy Cutler,,,,,,,,,,,
Widenor Consulting LLC,,,,,,,,"AboutFollowing 12 years in corporate R&D, Innovation, Strategic Planning, and Sustainability, I’m excited to bring the skills I’ve gained to a broader range of organizations, packaged into custom consulting engagements. I help organizations move from vision to execution through a structured approach to foster creative thinking. Some examples of the way I work with clients include:- Ideation & Strategy – Facilitating visual thinking workshops that unlock creativity, align teams, and build actiona",,,
Westfield,,,,,,DiversityEquityandInclusion@westfieldgrp.com; DiversityEquityandInclusion@westfieldgrp.com; DiversityEquityandInclusion@westfieldgrp.com; DiversityEquityandInclusion@westfieldgrp.com; DiversityEquityandInclusion@westfieldgrp.com,,"AboutWestfield will be admired as a leading personal and commercial lines property-casualty insurance company enabled by an exceptional team known for expertise and caring.  We will be distinguished by excellence in commercial insurance, and customers will choose us for our insight about risk and the value we deliver",,,
WKYC Studios,,,,,,,,"AboutFor all the latest Northeast Ohio, weather and sports news, go to www.wkyc.com.",,,
West Park Kamm's Neighborhood Development,,,,,,,,"AboutWest Park Kamm’s Neighborhood Development is the nonprofit, community development corporation serving the west side of Cleveland’s West Park Neighborhood.",,,
Walder Studio,,,,,,,,"AboutWalder Studio is a certified Women-Owned Small Business based in Cleveland, Ohio, and Austin, Texas. We offer graphic design, logo design and branding, signage and wayfinding design, web design and development, content creation, and more to create engaging solutions for our clients. Our team is committed to the success of our clients both during the project and in the future, and we pride ourselves on working collaboratively with clients throughout the design process.As a smaller firm, Wald",,,
Woodhouse Day Spa,,,,,,,,"AboutThe Woodhouse Day Spa Cleveland is a 5,200+ square feet of Victorian décor, featuring 16 Private Guest Treatment Rooms, Men’s & Women’s Quiet Rooms, Duet Massage Room, Bath & Massage Room, Private Man",,,
Work in Progress Consulting,,,,,,,,"AboutA people-centered operations, strategy, and capacity building consulting firm. We specialize in Human Resources, Finance, Strategy, Hiring & Recruitment, and small business and nonprofit operations support. We offer both executive and board coaching services.",,,
WKYC Studios,,,,,,,,"AboutFor all the latest Northeast Ohio, weather and sports news, go to www.wkyc.com.",,,
Walder Studio,,,,,,,,"AboutWalder Studio is a certified Women-Owned Small Business based in Cleveland, Ohio, and Austin, Texas. We offer graphic design, logo design and branding, signage and wayfinding design, web design and development, content creation, and more to create engaging solutions for our clients. Our team is committed to the success of our clients both during the project and in the future, and we pride ourselves on working collaboratively with clients throughout the design process.As a smaller firm, Wald",,,
Where the Heart Is Catering,,,,,,,,"AboutWhere the Heart Is Catering and Events will touch the hearts of both you and your guests. Upon entering a venue full of the design and food that comes only from WTHI, you will notice we've put our  time, energy and love into making your event stellar!Undoubtedly, you are the heartbeat of ''Where the Heart is Catering & Events.'' That is why your event food, design and decor will be of the highest quality, the latest trends, and executed with professionalism upon our first contact with you, ",,,
Western Reserve Distillers,,,,,,,,"AboutWestern Reserve Distillers is a family owned Organic Craft Distillery producing award winning world class spirits in Lakewood, Ohio, which is just a few miles from downtown Cleveland. All of our products are handcrafted in small batches with grains from Ohio farms within 150 miles of our distillery.Our mission at Western Reserve Distillers is to be known as the nations premiere organic craft distillery where we believe taste makes the difference.The Distillery at Western Reserve Distillers ",,,
